scheme,condition,wm,prompt_id,seed,score_weighted
SynthID,clean,0,0,11,0.4985241502086528
SynthID,clean,0,0,12,0.501507938598637
SynthID,clean,0,0,13,0.5003696862393431
SynthID,clean,0,0,14,0.497019088930757
SynthID,clean,0,1,11,0.4993332338159924
SynthID,clean,0,1,12,0.5032087860006832
SynthID,clean,0,1,13,0.500472773714153
SynthID,clean,0,1,14,0.49862543351860045
SynthID,clean,0,2,11,0.49942737722048075
SynthID,clean,0,2,12,0.5041139058244678
SynthID,clean,0,2,13,0.4932484340078713
SynthID,clean,0,2,14,0.5002456116948143
SynthID,clean,0,3,11,0.5023795695966653
SynthID,clean,0,3,12,0.49976834172445456
SynthID,clean,0,3,13,0.5046662978671093
SynthID,clean,0,3,14,0.5017714829346327
SynthID,clean,0,4,11,0.5014477008729883
SynthID,clean,0,4,12,0.5010378160545013
SynthID,clean,0,4,13,0.5030576572732197
SynthID,clean,0,4,14,0.505914315569488
SynthID,clean,0,5,11,0.5053151815402269
SynthID,clean,0,5,12,0.5058352205809605
SynthID,clean,0,5,13,0.5076958632982974
SynthID,clean,0,5,14,0.5028693343809938
SynthID,clean,0,6,11,0.5056236559393797
SynthID,clean,0,6,12,0.4958254070323036
SynthID,clean,0,6,13,0.4985443768454702
SynthID,clean,0,6,14,0.5027365817647065
SynthID,clean,0,7,11,0.503000864897216
SynthID,clean,0,7,12,0.5021880550019978
SynthID,clean,0,7,13,0.4997499280193846
SynthID,clean,0,7,14,0.498430815672195
SynthID,clean,0,8,11,0.4988721828760143
SynthID,clean,0,8,12,0.5012505018236485
SynthID,clean,0,8,13,0.5051349822140897
SynthID,clean,0,8,14,0.5045208918563151
SynthID,clean,0,9,11,0.49783136019695157
SynthID,clean,0,9,12,0.5043380552074564
SynthID,clean,0,9,13,0.5009051640942702
SynthID,clean,0,9,14,0.4978391988936304
SynthID,clean,0,10,11,0.49555503986343774
SynthID,clean,0,10,12,0.5075212129322848
SynthID,clean,0,10,13,0.5012212571032716
SynthID,clean,0,10,14,0.49778487940400507
SynthID,clean,0,11,11,0.5000313857765711
SynthID,clean,0,11,12,0.5035173367245309
SynthID,clean,0,11,13,0.5028265282457388
SynthID,clean,0,11,14,0.5036495220403266
SynthID,clean,0,12,11,0.4963016388510582
SynthID,clean,0,12,12,0.49681920675156116
SynthID,clean,0,12,13,0.49932093497480606
SynthID,clean,0,12,14,0.49817682353791665
SynthID,clean,0,13,11,0.5027464445209131
SynthID,clean,0,13,12,0.5002964629182055
SynthID,clean,0,13,13,0.49667899785566066
SynthID,clean,0,13,14,0.4994143669595903
SynthID,clean,0,14,11,0.5025281117921365
SynthID,clean,0,14,12,0.5034365744949982
SynthID,clean,0,14,13,0.5066782398274547
SynthID,clean,0,14,14,0.5047838868303199
SynthID,clean,0,15,11,0.5007150337697186
SynthID,clean,0,15,12,0.5021099158947994
SynthID,clean,0,15,13,0.5019765630942801
SynthID,clean,0,15,14,0.5009679370840896
SynthID,clean,0,16,11,0.49952599125012914
SynthID,clean,0,16,12,0.49319365823955247
SynthID,clean,0,16,13,0.49645101104603917
SynthID,clean,0,16,14,0.4971111141009025
SynthID,clean,0,17,11,0.5028067737452735
SynthID,clean,0,17,12,0.5033044932079415
SynthID,clean,0,17,13,0.4997970420384213
SynthID,clean,0,17,14,0.49571114039467334
SynthID,clean,0,18,11,0.500866802718226
SynthID,clean,0,18,12,0.50237783370372
SynthID,clean,0,18,13,0.5045293960654462
SynthID,clean,0,18,14,0.5025327619759762
SynthID,clean,0,19,11,0.5011064756981273
SynthID,clean,0,19,12,0.5043342124418856
SynthID,clean,0,19,13,0.5063669828781391
SynthID,clean,0,19,14,0.49854240830278235
SynthID,clean,0,20,11,0.4983415052380569
SynthID,clean,0,20,12,0.5040858390716232
SynthID,clean,0,20,13,0.5025056386762631
SynthID,clean,0,20,14,0.5015545043556744
SynthID,clean,0,21,11,0.4997776296127121
SynthID,clean,0,21,12,0.5007202140556516
SynthID,clean,0,21,13,0.4985186856154598
SynthID,clean,0,21,14,0.5032374539318684
SynthID,clean,0,22,11,0.4990395354031718
SynthID,clean,0,22,12,0.4987811417257878
SynthID,clean,0,22,13,0.5043531256431335
SynthID,clean,0,22,14,0.4989123940939424
SynthID,clean,0,23,11,0.4988915157134505
SynthID,clean,0,23,12,0.49560875516457054
SynthID,clean,0,23,13,0.49900684383443
SynthID,clean,0,23,14,0.501762839119161
SynthID,clean,1,0,11,0.5377193072614214
SynthID,clean,1,0,12,0.5317298896119698
SynthID,clean,1,0,13,0.535549270819136
SynthID,clean,1,0,14,0.5296799117436327
SynthID,clean,1,1,11,0.5396647090279557
SynthID,clean,1,1,12,0.5357671120309219
SynthID,clean,1,1,13,0.5335185769138024
SynthID,clean,1,1,14,0.537443480893368
SynthID,clean,1,2,11,0.5538009695294083
SynthID,clean,1,2,12,0.5704122958481979
SynthID,clean,1,2,13,0.5640567951318458
SynthID,clean,1,2,14,0.5569062677592623
SynthID,clean,1,3,11,0.5338248020590071
SynthID,clean,1,3,12,0.53316509125702
SynthID,clean,1,3,13,0.5335696304740193
SynthID,clean,1,3,14,0.5286202255196749
SynthID,clean,1,4,11,0.5442740987460815
SynthID,clean,1,4,12,0.5439155705864664
SynthID,clean,1,4,13,0.5328881235387178
SynthID,clean,1,4,14,0.5384461914120661
SynthID,clean,1,5,11,0.5299690797875917
SynthID,clean,1,5,12,0.5360165826706712
SynthID,clean,1,5,13,0.5340545913296123
SynthID,clean,1,5,14,0.5382661820233219
SynthID,clean,1,6,11,0.5419665665364319
SynthID,clean,1,6,12,0.5421748220860729
SynthID,clean,1,6,13,0.5490898194038245
SynthID,clean,1,6,14,0.5494007353807716
SynthID,clean,1,7,11,0.555465424372567
SynthID,clean,1,7,12,0.5506024353314994
SynthID,clean,1,7,13,0.5557853542225505
SynthID,clean,1,7,14,0.5550022458416746
SynthID,clean,1,8,11,0.5326700897685258
SynthID,clean,1,8,12,0.5350394932403928
SynthID,clean,1,8,13,0.5320381099312314
SynthID,clean,1,8,14,0.5259349462797739
SynthID,clean,1,9,11,0.5351635336139191
SynthID,clean,1,9,12,0.5322249743067112
SynthID,clean,1,9,13,0.5350154067025839
SynthID,clean,1,9,14,0.5341383100253924
SynthID,clean,1,10,11,0.560759140503583
SynthID,clean,1,10,12,0.5496128969651967
SynthID,clean,1,10,13,0.5487034540737198
SynthID,clean,1,10,14,0.5536408118358956
SynthID,clean,1,11,11,0.5383447914502273
SynthID,clean,1,11,12,0.5369486775267122
SynthID,clean,1,11,13,0.5354670744945268
SynthID,clean,1,11,14,0.5364312070292798
SynthID,clean,1,12,11,0.5346267214180714
SynthID,clean,1,12,12,0.5339378235212399
SynthID,clean,1,12,13,0.540504491781413
SynthID,clean,1,12,14,0.5390283783292757
SynthID,clean,1,13,11,0.5453289526565389
SynthID,clean,1,13,12,0.5505806956103113
SynthID,clean,1,13,13,0.5469992515285104
SynthID,clean,1,13,14,0.5481994111127145
